title,startTime,endTime,platform,name_organizer,url_organizer,descriptionSnippet,url,venue,price
Keep Austin Romantic Bookstore Crawl,2026-04-04T09:30:00-05:00,2026-04-04T17:00:00-05:00,eventbrite,Keep Austin Romantic Book Club,https://www.eventbrite.com/o/keep-austin-romantic-book-club-108336376051,Six indie bookstores. One private shuttle. Prizes throughout the day. A curated day out with people who love romance books as much as you do,https://www.eventbrite.com/e/keep-austin-romantic-bookstore-crawl-tickets-1984210277353,"{'name': 'Hyde Park Church', 'address': '3901 Speedway, Austin, TX 78751', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 78.67, 'max': 123.49, 'currency': 'USD', 'raw': 'USD 78.67 - 123.49'}"
Intro Mosaic Workshop | Create unique art in the heart of East Austin,2026-04-04T10:00:00-05:00,2026-04-04T13:00:00-05:00,eventbrite,J Muzacz,https://www.eventbrite.com/o/j-muzacz-47844180193,"Create a beautiful mosaic and experience the art, history, and culture of East Austin. All ages, abilities, and skill levels are welcome!",https://www.eventbrite.com/e/intro-mosaic-workshop-create-unique-art-in-the-heart-of-east-austin-tickets-1981453965149,"{'name': 'The Mosaic Workshop', 'address': '729 Airport Boulevard, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 81.19, 'currency': 'USD', 'raw': 'USD 81.19'}"
Austin Witchfest 2026,2026-04-04T10:00:00-05:00,2026-04-04T19:00:00-05:00,eventbrite,Austin Witchfest,https://www.eventbrite.com/o/austin-witchfest-26104226369,"Join us for the 6th annual Austin Witchfest! Get ready for a magickal day of wares, readers, classes and more!",https://www.eventbrite.com/e/austin-witchfest-2026-tickets-1759032095349,"{'name': 'Palmer Events Center', 'address': '900 Barton Springs Road, Austin, TX 78704', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 12.51, 'max': 17.85, 'currency': 'USD', 'raw': 'USD 12.51 - 17.85'}"
Letterpress Poster Printing Workshop,2026-04-04T10:00:00-05:00,2026-04-04T13:00:00-05:00,eventbrite,Press Room Austin,https://www.eventbrite.com/o/press-room-austin-95294543833,"Join us at the Press Room in Austin, TX for one-of-a-kind workshop exploring one of the wildest collections in cinema history!",https://www.eventbrite.com/e/letterpress-poster-printing-workshop-tickets-1984186324710,"{'name': '3908 Avenue B', 'address': '3908 Avenue B, Austin, TX 78751', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 161.9, 'max': 215.26, 'currency': 'USD', 'raw': 'USD 161.9 - 215.26'}"
Beginners Pottery Private Class - 1-4 people,2026-04-04T10:30:00-05:00,2026-04-04T13:00:00-05:00,eventbrite,The Corch Art Studio,https://www.eventbrite.com/o/the-corch-art-studio-120766283572,"Get your hands dirty and have fun shaping clay in a chill private pottery session for you, your date or your crew.",https://www.eventbrite.com/e/beginners-pottery-private-class-1-4-people-tickets-1984160800366,"{'name': '6605 Greensboro Dr', 'address': '6605 Greensboro Drive, Austin, TX 78723', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 71.3, 'currency': 'USD', 'raw': 'USD 71.3'}"
Urban Culinary Adventure in Austin - Food Tour in Austin | Cozymeal™,2026-04-04T11:00:00-05:00,2026-04-04T14:00:00-05:00,eventbrite,Cozymeal,https://www.eventbrite.com/o/cozymeal-46046403233,,https://www.eventbrite.com/e/urban-culinary-adventure-in-austin-food-tour-in-austin-cozymealtm-tickets-1979672112580,"{'name': 'Location provided after booking', 'address': 'Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': True, 'currency': 'USD', 'raw': 'Free'}"
Austin Bachelorette Party & Bachelor Party Bar Crawl-Bach Bar Crawl Austin,2026-04-04T12:00:00-05:00,2026-04-04T22:00:00-05:00,eventbrite,Bach Bar Bar Crawl,https://www.eventbrite.com/o/bach-bar-bar-crawl-83313116853,"Get set to kick off your Austin Bachelorette Party bash, Bachelor Party Bach, Girls' night out, or Guys' night out with the Bach Bar Craw.",https://www.eventbrite.com/e/austin-bachelorette-party-bachelor-party-bar-crawl-bach-bar-crawl-austin-tickets-1297157977429,"{'name': ""Maggie Mae's"", 'address': '323 East 6th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 15.85, 'max': 29.71, 'currency': 'USD', 'raw': 'USD 15.85 - 29.71'}"
Art of Mixology: Pastels & Punch Bowls,2026-04-04T14:00:00-05:00,2026-04-04T16:00:00-05:00,eventbrite,Omni Barton Creek Resort & Spa,https://www.eventbrite.com/o/omni-barton-creek-resort-spa-72834002963,"Join our expert bartenders for a pastel-inspired, hands-on mixology class featuring spring spritzes and punch bowl favorites.",https://www.eventbrite.com/e/art-of-mixology-pastels-punch-bowls-tickets-1983105228121,"{'name': 'Omni Barton Creek Resort & Spa, Barton Club Drive, Austin, TX, USA', 'address': '8212 Barton Club Drive, Austin, TX 78735', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 53.98, 'currency': 'USD', 'raw': 'USD 53.98'}"
Parent & Child: Decorate a Bunny Cake,2026-04-04T15:00:00-05:00,2026-04-04T16:30:00-05:00,eventbrite,Central Market Cooking School Austin North Lamar,https://www.eventbrite.com/o/central-market-cooking-school-austin-north-lamar-30370421142,Parent & Child ages 7 - 17. Hands on. Children must be accompanied by and adult who has purchased a ticket. Tickets are priced per person.,https://www.eventbrite.com/e/parent-child-decorate-a-bunny-cake-tickets-1983050944758,"{'name': 'Central Market Austin North Lamar', 'address': '4001 North Lamar Boulevard, Austin, TX 78756', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 48.63, 'currency': 'USD', 'raw': 'USD 48.63'}"
Foodies + New Friends: Austin | Dinner + An Activity,2026-04-04T16:00:00-05:00,2026-04-04T22:00:00-05:00,eventbrite,Ermantourage Europe & US,https://www.eventbrite.com/o/ermantourage-europe-us-106360350021,"Life can be lonely, especially when you’re always on the grind! Take the opportunity to meet others over dinner and a curated activity.",https://www.eventbrite.com/e/foodies-new-friends-austin-dinner-an-activity-tickets-1979528218188,"{'name': 'Restaurant of the Week', 'address': 'Congress Avenue, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 55.2, 'currency': 'USD', 'raw': 'USD 55.2'}"
Rooftop Day Party  @ Speakeasy | 4.4 - TX Relay Weekend,2026-04-04T16:00:00-05:00,2026-04-04T21:00:00-05:00,eventbrite,EncoreATX,https://www.eventbrite.com/o/encoreatx-13476342648,"The Day Party you been waiting for! Hip-Hop, R&B, Afrobeat in an Upscale Rooftop Atmosphere",https://www.eventbrite.com/e/rooftop-day-party-speakeasy-44-tx-relay-weekend-tickets-1982460977149,"{'name': 'Speakeasy', 'address': '412 Congress Avenue, #D, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 12.51, 'max': 241.94, 'currency': 'USD', 'raw': 'USD 12.51 - 241.94'}"
Drag Queen Sip and Paint Austin The Drag Queen Paint experience,2026-04-04T16:00:00-05:00,2026-04-04T17:30:00-05:00,eventbrite,Drag Queen Sip and Paint,https://www.eventbrite.com/o/drag-queen-sip-and-paint-93322042303,"Drag Queen Sip N Paint by Sip and Paint USA Welcome to Drag Queen Sip N Paint, a fabulous experience brought to you by Sip and Paint USA",https://www.eventbrite.com/e/drag-queen-sip-and-paint-austin-the-drag-queen-paint-experience-tickets-1042038544337,"{'name': 'The Venue ATX - Austin Live Music & Event Venue', 'address': '516 East 6th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 48.19, 'max': 1388.11, 'currency': 'USD', 'raw': 'USD 48.19 - 1388.11'}"
Speed Dating in Austin | Fancy a Go? | Gay Men Singles Event,2026-04-04T17:00:00-05:00,2026-04-04T19:00:00-05:00,eventbrite,MyCheekyGayDate,https://www.eventbrite.com/o/mycheekygaydate-18499287851,Speed Dating in Austin | Fancy a Go? | Gay Men Singles Event,https://www.eventbrite.com/e/speed-dating-in-austin-fancy-a-go-gay-men-singles-event-tickets-1984423362697,"{'name': ""Higbie's"", 'address': '720 Brazos Street, #Ste B-710, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 39.21, 'max': 42.68, 'currency': 'USD', 'raw': 'USD 39.21 - 42.68'}"
East Austin Comedy Club Early Show,2026-04-04T18:00:00-05:00,2026-04-04T19:30:00-05:00,eventbrite,Top Flight Comedy,https://www.eventbrite.com/o/top-flight-comedy-78517158513,"Join us for our early comedy show featuring some of the best comedians from across the country, right here at East Austin Comedy Club",https://www.eventbrite.com/e/east-austin-comedy-club-early-show-tickets-1032725147717,"{'name': 'East Austin Comedy', 'address': '2505 East 6th Street, #Suite D, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 17.85, 'currency': 'USD', 'raw': 'USD 17.85'}"
